COD_CIDADE;CIDADE;COD_UF;UF
353190;MORRO AGUDO;35;SP
353200;MORUNGABA;35;SP
353205;MOTUCA;35;SP
353210;MURUTINGA DO SUL;35;SP
353215;NANTES;35;SP
353220;NARANDIBA;35;SP
353230;NATIVIDADE DA SERRA;35;SP
353240;NAZARE PAULISTA;35;SP
353250;NEVES PAULISTA;35;SP
353260;NHANDEARA;35;SP
353270;NIPOA;35;SP
353280;NOVA ALIANCA;35;SP
353282;NOVA CAMPINA;35;SP
353284;NOVA CANAA PAULISTA;35;SP
353286;NOVA CASTILHO;35;SP
353290;NOVA EUROPA;35;SP
353300;NOVA GRANADA;35;SP
353310;NOVA GUATAPORANGA;35;SP
353320;NOVA INDEPENDENCIA;35;SP
353325;NOVAIS;35;SP
353330;NOVA LUZITANIA;35;SP
353340;NOVA ODESSA;35;SP
353350;NOVO HORIZONTE;35;SP
353360;NUPORANGA;35;SP
353370;OCAUCU;35;SP
353380;OLEO;35;SP
353390;OLIMPIA;35;SP
353400;ONDA VERDE;35;SP
353410;ORIENTE;35;SP
353420;ORINDIUVA;35;SP
353430;ORLANDIA;35;SP
353440;OSASCO;35;SP
353450;OSCAR BRESSANE;35;SP
353460;OSVALDO CRUZ;35;SP
353470;OURINHOS;35;SP
353475;OUROESTE;35;SP
353480;OURO VERDE;35;SP
353490;PACAEMBU;35;SP
353500;PALESTINA;35;SP
353510;PALMARES PAULISTA;35;SP
353520;PALMEIRA D'OESTE;35;SP
353530;PALMITAL;35;SP
353540;PANORAMA;35;SP
353550;PARAGUACU PAULISTA;35;SP
353560;PARAIBUNA;35;SP
353570;PARAISO;35;SP
353580;PARANAPANEMA;35;SP
353590;PARANAPUA;35;SP
353600;PARAPUA;35;SP
353610;PARDINHO;35;SP
353620;PARIQUERA-ACU;35;SP
353625;PARISI;35;SP
353630;PATROCINIO PAULISTA;35;SP
353640;PAULICEIA;35;SP
353650;PAULINIA;35;SP
353657;PAULISTANIA;35;SP
353660;PAULO DE FARIA;35;SP
353670;PEDERNEIRAS;35;SP
353680;PEDRA BELA;35;SP
353690;PEDRANOPOLIS;35;SP
353700;PEDREGULHO;35;SP
353710;PEDREIRA;35;SP
353715;PEDRINHAS PAULISTA;35;SP
353720;PEDRO DE TOLEDO;35;SP
353730;PENAPOLIS;35;SP
353740;PEREIRA BARRETO;35;SP
353750;PEREIRAS;35;SP
353760;PERUIBE;35;SP
353770;PIACATU;35;SP
353780;PIEDADE;35;SP
353790;PILAR DO SUL;35;SP
353800;PINDAMONHANGABA;35;SP
353810;PINDORAMA;35;SP
353820;PINHALZINHO;35;SP
353830;PIQUEROBI;35;SP
353850;PIQUETE;35;SP
353860;PIRACAIA;35;SP
353870;PIRACICABA;35;SP
353880;PIRAJU;35;SP
353890;PIRAJUI;35;SP
353900;PIRANGI;35;SP
353910;PIRAPORA DO BOM JESUS;35;SP
353920;PIRAPOZINHO;35;SP
353930;PIRASSUNUNGA;35;SP
353940;PIRATININGA;35;SP
353950;PITANGUEIRAS;35;SP
353960;PLANALTO;35;SP
353970;PLATINA;35;SP
353980;POA;35;SP
353990;POLONI;35;SP
354000;POMPEIA;35;SP
354010;PONGAI;35;SP
354020;PONTAL;35;SP
354025;PONTALINDA;35;SP
354030;PONTES GESTAL;35;SP
354040;POPULINA;35;SP
354050;PORANGABA;35;SP
354060;PORTO FELIZ;35;SP
354070;PORTO FERREIRA;35;SP
354075;POTIM;35;SP
354080;POTIRENDABA;35;SP
354085;PRACINHA;35;SP
354090;PRADOPOLIS;35;SP
354100;PRAIA GRANDE;35;SP
354105;PRATANIA;35;SP
354110;PRESIDENTE ALVES;35;SP
354120;PRESIDENTE BERNARDES;35;SP
354130;PRESIDENTE EPITACIO;35;SP
354140;PRESIDENTE PRUDENTE;35;SP
354150;PRESIDENTE VENCESLAU;35;SP
354160;PROMISSAO;35;SP
354165;QUADRA;35;SP
354170;QUATA;35;SP
354180;QUEIROZ;35;SP
354190;QUELUZ;35;SP
354200;QUINTANA;35;SP
354210;RAFARD;35;SP
354220;RANCHARIA;35;SP
354230;REDENCAO DA SERRA;35;SP
354240;REGENTE FEIJO;35;SP
354250;REGINOPOLIS;35;SP
354260;REGISTRO;35;SP
354270;RESTINGA;35;SP
354280;RIBEIRA;35;SP
354290;RIBEIRAO BONITO;35;SP
354300;RIBEIRAO BRANCO;35;SP
354310;RIBEIRAO CORRENTE;35;SP
354320;RIBEIRAO DO SUL;35;SP
354323;RIBEIRAO DOS INDIOS;35;SP
354325;RIBEIRAO GRANDE;35;SP
354330;RIBEIRAO PIRES;35;SP
354340;RIBEIRAO PRETO;35;SP
354350;RIVERSUL;35;SP
354360;RIFAINA;35;SP
354370;RINCAO;35;SP
354380;RINOPOLIS;35;SP
354390;RIO CLARO;35;SP
354400;RIO DAS PEDRAS;35;SP
354410;RIO GRANDE DA SERRA;35;SP
354420;RIOLANDIA;35;SP
354425;ROSANA;35;SP
354430;ROSEIRA;35;SP
354440;RUBIACEA;35;SP
354450;RUBINEIA;35;SP
354460;SABINO;35;SP
354470;SAGRES;35;SP
354480;SALES;35;SP
354490;SALES OLIVEIRA;35;SP
354500;SALESOPOLIS;35;SP
354510;SALMOURAO;35;SP
354515;SALTINHO;35;SP
354520;SALTO;35;SP
354530;SALTO DE PIRAPORA;35;SP
354540;SALTO GRANDE;35;SP
354550;SANDOVALINA;35;SP
354560;SANTA ADELIA;35;SP
354570;SANTA ALBERTINA;35;SP
354580;SANTA BARBARA D'OESTE;35;SP
354600;SANTA BRANCA;35;SP
354610;SANTA CLARA D'OESTE;35;SP
354620;SANTA CRUZ DA CONCEICAO;35;SP
354625;SANTA CRUZ DA ESPERANCA;35;SP
354630;SANTA CRUZ DAS PALMEIRAS;35;SP
354640;SANTA CRUZ DO RIO PARDO;35;SP
354650;SANTA ERNESTINA;35;SP
354660;SANTA FE DO SUL;35;SP
354670;SANTA GERTRUDES;35;SP
354680;SANTA ISABEL;35;SP
354690;SANTA LUCIA;35;SP
354700;SANTA MARIA DA SERRA;35;SP
354710;SANTA MERCEDES;35;SP
354720;SANTANA DA PONTE PENSA;35;SP
354730;SANTANA DE PARNAIBA;35;SP
354740;SANTA RITA D'OESTE;35;SP
354750;SANTA RITA DO PASSA QUATRO;35;SP
354760;SANTA ROSA DE VITERBO;35;SP
354765;SANTA SALETE;35;SP
354770;SANTO ANASTACIO;35;SP
354780;SANTO ANDRE;35;SP
354790;SANTO ANTONIO DA ALEGRIA;35;SP
354800;SANTO ANTONIO DE POSSE;35;SP
354805;SANTO ANTONIO DO ARACANGUA;35;SP
354810;SANTO ANTONIO DO JARDIM;35;SP
354820;SANTO ANTONIO DO PINHAL;35;SP
354830;SANTO EXPEDITO;35;SP
354840;SANTOPOLIS DO AGUAPEI;35;SP
354850;SANTOS;35;SP
354860;SAO BENTO DO SAPUCAI;35;SP
354870;SAO BERNARDO DO CAMPO;35;SP
354880;SAO CAETANO DO SUL;35;SP
354890;SAO CARLOS;35;SP
354900;SAO FRANCISCO;35;SP
354910;SAO JOAO DA BOA VISTA;35;SP
354920;SAO JOAO DAS DUAS PONTES;35;SP
354925;SAO JOAO DE IRACEMA;35;SP
354930;SAO JOAO DO PAU D'ALHO;35;SP
354940;SAO JOAQUIM DA BARRA;35;SP
354950;SAO JOSE DA BELA VISTA;35;SP
354960;SAO JOSE DO BARREIRO;35;SP
354970;SAO JOSE DO RIO PARDO;35;SP
354980;SAO JOSE DO RIO PRETO;35;SP
354990;SAO JOSE DOS CAMPOS;35;SP
354995;SAO LOURENCO DA SERRA;35;SP
355000;SAO LUIS DO PARAITINGA;35;SP
355010;SAO MANUEL;35;SP
355020;SAO MIGUEL ARCANJO;35;SP
355030;SAO PAULO;35;SP
355040;SAO PEDRO;35;SP
355050;SAO PEDRO DO TURVO;35;SP
355060;SAO ROQUE;35;SP
355070;SAO SEBASTIAO;35;SP
355080;SAO SEBASTIAO DA GRAMA;35;SP
355090;SAO SIMAO;35;SP
355100;SAO VICENTE;35;SP
355110;SARAPUI;35;SP
355120;SARUTAIA;35;SP
355130;SEBASTIANOPOLIS DO SUL;35;SP
355140;SERRA AZUL;35;SP
355150;SERRANA;35;SP
355160;SERRA NEGRA;35;SP
355170;SERTAOZINHO;35;SP
355180;SETE BARRAS;35;SP
355190;SEVERINIA;35;SP
355200;SILVEIRAS;35;SP
355210;SOCORRO;35;SP
355220;SOROCABA;35;SP
355230;SUD MENNUCCI;35;SP
355240;SUMARE;35;SP
355250;SUZANO;35;SP
355255;SUZANAPOLIS;35;SP
355260;TABAPUA;35;SP
355270;TABATINGA;35;SP
355280;TABOAO DA SERRA;35;SP
355290;TACIBA;35;SP
355300;TAGUAI;35;SP
355310;TAIACU;35;SP
355320;TAIUVA;35;SP
355330;TAMBAU;35;SP
355340;TANABI;35;SP
355350;TAPIRAI;35;SP
355360;TAPIRATIBA;35;SP
355365;TAQUARAL;35;SP
355370;TAQUARITINGA;35;SP
355380;TAQUARITUBA;35;SP
355385;TAQUARIVAI;35;SP
355390;TARABAI;35;SP
355395;TARUMA;35;SP
355400;TATUI;35;SP
355410;TAUBATE;35;SP
355420;TEJUPA;35;SP
355430;TEODORO SAMPAIO;35;SP
355440;TERRA ROXA;35;SP
355450;TIETE;35;SP
355460;TIMBURI;35;SP
355465;TORRE DE PEDRA;35;SP
355470;TORRINHA;35;SP
355475;TRABIJU;35;SP
355480;TREMEMBE;35;SP
355490;TRES FRONTEIRAS;35;SP
355495;TUIUTI;35;SP
355500;TUPA;35;SP
355510;TUPI PAULISTA;35;SP
355520;TURIUBA;35;SP
355530;TURMALINA;35;SP
355535;UBARANA;35;SP
355540;UBATUBA;35;SP
355550;UBIRAJARA;35;SP
355560;UCHOA;35;SP
355570;UNIAO PAULISTA;35;SP
355580;URANIA;35;SP
355590;URU;35;SP
355600;URUPES;35;SP
355610;VALENTIM GENTIL;35;SP
355620;VALINHOS;35;SP
355630;VALPARAISO;35;SP
355635;VARGEM;35;SP
355640;VARGEM GRANDE DO SUL;35;SP
355645;VARGEM GRANDE PAULISTA;35;SP
355650;VARZEA PAULISTA;35;SP
355660;VERA CRUZ;35;SP
355670;VINHEDO;35;SP
355680;VIRADOURO;35;SP
355690;VISTA ALEGRE DO ALTO;35;SP
355695;VITORIA BRASIL;35;SP
355700;VOTORANTIM;35;SP
355710;VOTUPORANGA;35;SP
355715;ZACARIAS;35;SP
355720;CHAVANTES;35;SP
355730;ESTIVA GERBI;35;SP
